nom,SIREN,type,code_departement,code_region
CC Bièvre Isère,200059392,CC,38,84
CC Billom Communauté,200067627,CC,63,84
CC Bouzonvillois-Trois Frontières,200067486,CC,57,44
CC Brenne - Val de Creuse,243600319,CC,36,24
CC Bresse et Saône,200071371,CC,01,84
CC Bresse Haute Seille,200069615,CC,39,27
CC Bresse Louhannaise Intercom',200071579,CC,71,27
CC Bresse Nord Intercom,247100647,CC,71,27
CC Bresse Revermont 71,200042414,CC,71,27
CC Bretagne porte de Loire Communauté,200070662,CC,35,53
CC Bretagne Romantique,243500733,CC,35,53
CC Briance Sud Haute Vienne,200040814,CC,87,75
CC Briance-Combade,248719338,CC,87,75
CC Brie des Rivières et Châteaux,200070779,CC,77,11
CC Brie Nangissienne,247700701,CC,77,11
CC Brioude Sud Auvergne,200085728,CC,43,84
CC Bruyères-Vallons des Vosges,200042000,CC,88,44
CC Buëch-Dévoluy,200067445,CC,05,93
CC Bugey Sud,200040350,CC,01,84
CC Cagire Garonne Salat,200073146,CC,31,76
CC Campagne-de-Caux,247600505,CC,76,28
CC Canaux et Forêts en Gâtinais,200067676,CC,45,24
CC Cap Sizun - Pointe du Raz,242900629,CC,29,53
CC Carmausin-Ségala,200040905,CC,81,76
CC Carnelle Pays-De-France,200073013,CC,95,11
CC Castelnaudary Lauragais Audois,200035855,CC,11,76
CC Castillon/Pujols,243301454,CC,"24,33",75
CC Causses Aigoual Cévennes,200034601,CC,30,76
CC Causses et Vallée de la Dordogne,200066371,CC,46,76
CC Caux - Austreberthe,247600646,CC,76,28
CC Cazals-Salviac,200035327,CC,46,76
CC Celavu-Prunelli,242000503,CC,2A,94
CC Centre Morbihan Communauté,200067221,CC,56,53
CC Centre Tarn,200034049,CC,81,76
CC Cère et Goul en Carladès,241501089,CC,15,84
CC Chablis Villages et Terroirs,200067080,CC,89,27
CC Chabris - Pays de Bazelle,243600202,CC,36,24
CC Challans-Gois Communauté,200071629,CC,85,52
CC Chalosse Tursan,200069649,CC,40,75
CC Champagne Boischauts,200068880,CC,36,24
CC Champagnole Nozeroy Jura,200069623,CC,39,27
CC Champsaur-Valgaudemar,200068096,CC,05,93
CC Charlieu-Belmont,200035202,CC,42,84
CC Châteaubriant-Derval,200072726,CC,44,52
CC Chavanon Combrailles et Volcans,200071215,CC,63,84
"CC Chinon,Vienne et Loire",200043081,CC,37,24
CC Cingal-Suisse Normande,200066710,CC,14,28
CC Cluses-Arve et Montagnes,200033116,CC,74,84
